filename,name,email,skills,experience,education,ata_score,ml_score,matched_count,total_keywords,matched_keywords
75_64_cv_1.docx,Ahsan Tariq,ahsan.tariq92@gmail.com,"Python, SQL, Flask, Django, AWS, Docker, Git",5.0,"Bachelor's degree in Computer Science from FAST NUCES, 2018",36.8%,66.3,7,19,"sql, django, flask, aws, git, python, docker"
75_64_cv_3.docx,Usman Raza,usman.raza@outlook.com,"Python, Django, PostgreSQL, Docker",5.0,"Bachelor's degree in Software Engineering from NUST, 2017",21.1%,37.6,4,19,"sql, django, python, docker"
64_cv_4.pdf,Mariam Yousuf,mariam.yousuf@yahoo.com,"SQL, Flask, AWS, Git",0.0,"Bachelor's degree in Computer Science from UET Lahore, 2020",21.1%,59.1,4,19,"sql, flask, aws, git"
64_cv_5.docx,Zain Haider,zain.haider@mail.com,"Python, SQL, Flask, AWS, Jenkins",5.0,"Bachelor's degree in Computer Science from COMSATS, 2016",21.1%,57.6,4,19,"sql, flask, aws, python"
75_64_cv_2.pdf,Fatima Khan,fatima.khan@gmail.com,"JavaScript, HTML, SQL, Flask, AWS",0.0,"Bachelor's degree in Information Technology from IBA, 2019",15.8%,51.6,3,19,"sql, flask, aws"
75_64_basit.docx,Basit Ali,,"Python, Java, C, MySQL, Artificial Intelligence, Cybersecurity, Network Security, Communication, Collaboration",0.0,Bachelor of Science  ‘Continue’ from Mehran University of Engineering and Technology,10.5%,20.3,2,19,"sql, python"
66_RESUME.pdf,MUHAMMAD ALI,ma0112733@gmail.com,"Python, Java, C, SQL, MySQL, Oracle, Data Analysis, Data Visualization, Predictive Modeling, Power BI, Excel, Advanced Excel, Leadership, Communication",1.5,Bachelor of Science in Data Science (in progress),10.5%,38.8,2,19,"sql, python"
77_unprofessional_cv_3.pdf,Shahid Intellectus,shahid.future.genius@techworld.com,"Docker, Kubernetes, Agile, AI, NLP",0.0,,5.3%,21.0,1,19,docker
96_64_Abdul_Waseo_CV.docx,Abdul Waseo,a.waseo786@gmail.com,"Python, Java, C, Pandas, NumPy, Machine Learning, Statistical Analysis, Teamwork",0.0,Software Engineering - Mehran University of Engineering and Technology - 2026,5.3%,34.0,1,19,python
95_unprofessional_cv_4.pdf,KAMRAN,KAMRAN_TH3_BOSS@EMAIL.COM,"Python, Excel",0.0,,5.3%,27.2,1,19,python
95_unprofessional_cv_1.pdf,mohsin,mohsin_l33t@hotmail,Python,2.0,,5.3%,41.5,1,19,python
75_CV_533.docx,Alexander Rodriguez,elizabeth81@example.com,"Leadership, Teamwork",1.0,"BSc in Computer Science from Smith, Miller and Graham University",0.0%,10.5,0,19,
75_CV_499.docx,Jennifer James,lisablevins@example.org,Communication,2.0,MSc in Computer Science from Cardenas-Montgomery University,0.0%,11.1,0,19,
75_CV_587.docx,Mary Cain,christianrobertson@example.org,"Leadership, Communication",6.0,"BSc in Software Engineering from Shea, Mitchell and Lee University",0.0%,11.4,0,19,
75_CV_476.docx,Mary Miller,bradley79@example.net,"Leadership, Teamwork",3.0,BSc in Information Technology from Aguirre Ltd University,0.0%,7.0,0,19,
75_CV_421.docx,Joanna Warner,briannacoffey@example.net,"Jenkins, Teamwork",1.0,BS in Computer Science from Henry-Jenkins University,0.0%,16.4,0,19,
75_CV_513.docx,Ashley Butler,johnbaker@example.org,,5.0,"BSc in Computer Science from Soto, Martinez and Bowman University",0.0%,13.8,0,19,
75_CV_460.docx,Yesenia Santiago,kward@example.net,Leadership,4.0,"BSc in Information Technology from Douglas, Garcia and Avery University",0.0%,12.0,0,19,
75_CV_525.docx,Shelley Stewart,melissasaunders@example.com,Communication,3.0,BS in Information Technology from Taylor-Kim University,0.0%,12.9,0,19,
75_CV_456.docx,Kathleen Fowler,marcus15@example.com,,3.0,BS in Software Engineering from Thompson-Phillips University,0.0%,22.9,0,19,
75_CV_572.docx,Karen Garcia,williamsdonald@example.com,Leadership,8.0,MSc in Information Technology from Brock-Rodriguez University,0.0%,11.0,0,19,
75_CV_437.docx,Kayla Henderson,yeseniabutler@example.net,Teamwork,3.0,BSc in Computer Science from Lee Group University,0.0%,14.1,0,19,
75_CV_440.docx,Carlos Boyd,julie45@example.com,,8.0,"BS in Computer Science from Cole, Cruz and Gonzalez University",0.0%,18.7,0,19,
75_CV_564.docx,Jonathan Vaughn,fosterjohn@example.org,,10.0,BSc in Computer Science from White PLC University,0.0%,18.5,0,19,
75_CV_417.docx,Eric Carr,georgehansen@example.com,,8.0,BS in Computer Science from Estrada and Sons University,0.0%,12.8,0,19,
75_CV_552.docx,John Hendrix,lindseyrachel@example.com,Leadership,6.0,BS in Computer Science from Bridges-Cunningham University,0.0%,14.0,0,19,
75_CV_401.docx,Michael Carr,kelly28@example.com,,5.0,BSc in Software Engineering from Frost Group University,0.0%,18.7,0,19,
75_CV_544.docx,Darren Parker,pwright@example.net,"Leadership, Communication",1.0,BSc in Software Engineering from Cox LLC University,0.0%,11.4,0,19,
75_CV_568.docx,Brandy Hayes,claudia33@example.net,,5.0,BSc in Computer Science from Ross-Ward University,0.0%,16.1,0,19,
75_CV_505.docx,Bruce Ramirez,robertmiller@example.com,"Communication, Teamwork",8.0,MSc in Computer Science from Roberts-King University,0.0%,11.9,0,19,
75_CV_449.docx,Ricardo Cook,derrick32@example.net,"Leadership, Teamwork",8.0,"BSc in Software Engineering from Sanchez, Kelley and Wallace University",0.0%,11.8,0,19,
96_75_CV_553.docx,Michael Pena,rubenrobertson@example.org,"Leadership, Communication",1.0,"MSc in Information Technology from Richmond, Smith and Hayes University",0.0%,9.2,0,19,
75_CV_436.docx,Theodore Roberts,vnash@example.org,"Communication, Teamwork",6.0,MSc in Computer Science from Willis-Morales University,0.0%,6.4,0,19,
75_CV_457.docx,Nicholas Williams,april00@example.net,"Leadership, Teamwork",7.0,MSc in Information Technology from Morales PLC University,0.0%,6.9,0,19,
75_CV_512.docx,Kristina Lara,kbauer@example.com,Communication,1.0,"BSc in Software Engineering from Hill, Bird and Leon University",0.0%,13.9,0,19,
75_CV_400.docx,Stephanie Phillips,hudsonheather@example.com,"Leadership, Teamwork",8.0,"BSc in Software Engineering from Mcmahon, Daniel and Thompson University",0.0%,12.5,0,19,
75_CV_545.docx,Stacey Obrien,freyveronica@example.org,,2.0,BSc in Computer Science from Howell Ltd University,0.0%,16.9,0,19,
75_CV_416.docx,Kerri Reyes,christianpatterson@example.net,"Leadership, Communication",2.0,MSc in Computer Science from Taylor Ltd University,0.0%,8.1,0,19,
75_CV_441.docx,Christopher Obrien,jenniferduran@example.org,,9.0,"BS in Information Technology from Johnson, Davies and Johnston University",0.0%,12.5,0,19,
75_CV_504.docx,Kristina Wells,keithcaldwell@example.org,Teamwork,3.0,BS in Computer Science from Armstrong-Bishop University,0.0%,11.1,0,19,
75_CV_573.docx,Steven Clark,hwilliamson@example.org,"Leadership, Teamwork",5.0,"BS in Information Technology from Jones, Barry and Nguyen University",0.0%,17.5,0,19,
96_75_CV_495.docx,Troy Wilson,destiny04@example.org,"Communication, Teamwork",8.0,BSc in Information Technology from Hodges-Warren University,0.0%,8.6,0,19,
75_CV_524.docx,Calvin Clark,ccombs@example.com,"Communication, Teamwork",2.0,BS in Computer Science from Sellers Ltd University,0.0%,10.2,0,19,
75_CV_548.docx,Mark Long,cole96@example.net,"Leadership, Communication",6.0,BSc in Software Engineering from Keller Group University,0.0%,14.6,0,19,
75_CV_461.docx,Andrea Hensley,jenniferpark@example.net,Teamwork,9.0,"BS in Software Engineering from Mitchell, Schmidt and Wallace University",0.0%,16.4,0,19,
75_CV_498.docx,Terry Robertson,bryanphillips@example.org,,4.0,"BSc in Computer Science from Alexander, Huber and Tran University",0.0%,21.6,0,19,
75_CV_532.docx,Tonya Torres,jmosley@example.org,,1.0,"BS in Computer Science from Collier, Wong and Reese University",0.0%,16.8,0,19,
75_CV_477.docx,Kristina Fernandez,brooksmichael@example.com,,10.0,BSc in Computer Science from Ferrell-Baker University,0.0%,11.6,0,19,
75_CV_565.docx,Donald Woods,kathleen51@example.org,,4.0,MSc in Computer Science from Dennis Inc University,0.0%,16.0,0,19,
75_CV_420.docx,Kimberly Roth,cuevasrenee@example.org,"Communication, Teamwork",8.0,MSc in Computer Science from Maynard-Miller University,0.0%,8.0,0,19,
75_CV_549.docx,Melanie Reyes,trubio@example.com,,9.0,MSc in Software Engineering from Lopez-Barry University,0.0%,19.1,0,19,
75_CV_483.docx,Lynn Stone DDS,mrice@example.com,"Leadership, Teamwork",8.0,"BSc in Computer Science from Morris, Valentine and Murphy University",0.0%,8.9,0,19,
75_CV_508.docx,Erin Moore,lawrence11@example.com,"Leadership, Teamwork",1.0,MSc in Computer Science from Hill-Price University,0.0%,8.0,0,19,
75_CV_509.docx,Jodi Simpson,cnelson@example.org,"Leadership, Teamwork",7.0,BS in Information Technology from Davis LLC University,0.0%,7.4,0,19,
75_CV_488.docx,David Schmidt,adrian54@example.com,"Communication, Teamwork",5.0,"BSc in Software Engineering from Gilbert, Snyder and Hernandez University",0.0%,14.0,0,19,
75_CV_529.docx,Dakota Smith,cynthiathomas@example.org,Teamwork,2.0,"MSc in Information Technology from Johnson, Porter and Williams University",0.0%,11.4,0,19,
75_CV_502.docx,Jeremy Meyer,benjamin60@example.org,"Leadership, Communication",6.0,"BSc in Software Engineering from Tran, Farrell and Berg University",0.0%,12.4,0,19,
75_CV_503.docx,Edward Rios,anthony67@example.com,Communication,9.0,BS in Information Technology from Williams PLC University,0.0%,11.5,0,19,
75_CV_411.docx,Donna Calhoun,sheilareyes@example.com,,1.0,BSc in Software Engineering from Delgado-Smith University,0.0%,19.4,0,19,
75_CV_554.docx,Matthew Wolfe,rachel07@example.org,"Communication, Teamwork",7.0,"MSc in Information Technology from Allen, Jones and Escobar University",0.0%,10.4,0,19,
75_CV_407.docx,Gabriella Moore,hoganbrady@example.net,Teamwork,5.0,BSc in Information Technology from Smith Inc University,0.0%,11.5,0,19,
75_CV_542.docx,Jeffrey Holloway,justinbaldwin@example.com,Communication,5.0,"BSc in Computer Science from Patterson, Francis and Carpenter University",0.0%,13.0,0,19,
75_CV_450.docx,Abigail Henderson,carolyndoyle@example.com,"Leadership, Teamwork",4.0,MSc in Software Engineering from Mckinney-Santana University,0.0%,12.1,0,19,
75_CV_515.docx,Amanda Watkins,evansmakayla@example.net,,2.0,"BSc in Computer Science from Diaz, Bright and Finley University",0.0%,19.1,0,19,
75_CV_581.docx,Lori Graham,christopherwright@example.net,,8.0,BS in Information Technology from Holt-Thomas University,0.0%,15.1,0,19,
75_CV_539.docx,Luis Moore,wilsontracey@example.net,Teamwork,9.0,"MSc in Computer Science from Calderon, White and Sullivan University",0.0%,12.9,0,19,
75_CV_493.docx,Ryan Aguirre,ovazquez@example.org,,9.0,BS in Software Engineering from Murphy Inc University,0.0%,18.3,0,19,
75_CV_485.docx,Larry Mills,smithkim@example.net,"Communication, Teamwork",1.0,BSc in Software Engineering from Newman PLC University,0.0%,11.8,0,19,
75_CV_578.docx,Sierra Cruz,nicholashuber@example.org,,7.0,"MSc in Information Technology from Bates, Martinez and Wagner University",0.0%,14.7,0,19,
75_CV_597.docx,Rebecca Rivera,rileyjoann@example.org,,2.0,BS in Computer Science from Boyd Group University,0.0%,16.1,0,19,
75_CV_558.docx,Angel Myers,scottandrew@example.com,,2.0,BS in Computer Science from Tucker Group University,0.0%,18.2,0,19,
75_CV_519.docx,Kelly Bullock,kristin36@example.net,"Leadership, Communication",2.0,"MSc in Software Engineering from Lambert, Duffy and Perez University",0.0%,11.0,0,19,
75_CV_562.docx,Tony Leon,hholmes@example.com,Communication,5.0,"MSc in Software Engineering from Kramer, Maldonado and Herring University",0.0%,17.5,0,19,
75_CV_427.docx,Dennis Taylor,alexandra44@example.com,,5.0,BS in Computer Science from Wright Inc University,0.0%,15.4,0,19,
75_CV_535.docx,Robert Rubio,daniel80@example.net,,2.0,BS in Information Technology from Griffin-Gutierrez University,0.0%,14.8,0,19,
75_CV_470.docx,Charles Boyd,stephanie36@example.com,,5.0,MSc in Information Technology from Ford-Harrington University,0.0%,17.6,0,19,
75_CV_523.docx,Mary Gutierrez,bonddennis@example.net,"Leadership, Teamwork",4.0,"BSc in Information Technology from Whitney, Gomez and Taylor University",0.0%,7.7,0,19,
75_CV_489.docx,Breanna Conley,anthonydavis@example.org,"Communication, Teamwork",8.0,"BSc in Computer Science from Miller, Sanders and Moore University",0.0%,10.9,0,19,
75_CV_466.docx,Jennifer Becker,tinamartin@example.net,,3.0,"BS in Software Engineering from Garcia, Warren and Wood University",0.0%,19.5,0,19,
75_CV_574.docx,Yvonne French,tsharp@example.com,Leadership,4.0,BS in Information Technology from Johnson Group University,0.0%,10.0,0,19,
75_CV_446.docx,Larry Sims,laura86@example.com,,1.0,"MSc in Computer Science from Lynch, Lewis and Jackson University",0.0%,14.6,0,19,
75_CV_447.docx,Andrea Wheeler,olsoncynthia@example.org,"Leadership, Teamwork",2.0,"MSc in Software Engineering from Nguyen, Stevens and Ibarra University",0.0%,13.5,0,19,
75_CV_591.docx,Kathleen Marshall,cooperbrian@example.org,,4.0,"BSc in Software Engineering from Young, Taylor and Brennan University",0.0%,21.6,0,19,
75_CV_555.docx,Tina Griffith,jacqueline92@example.org,,6.0,MSc in Software Engineering from Benitez-Shelton University,0.0%,21.6,0,19,
75_CV_575.docx,Daniel Livingston,whitneyashley@example.net,Teamwork,8.0,"BSc in Software Engineering from Marshall, Gardner and Simpson University",0.0%,19.5,0,19,
75_CV_430.docx,Colleen Greer,zcollins@example.com,Teamwork,6.0,"BS in Computer Science from Rice, Phillips and Arroyo University",0.0%,13.1,0,19,
66_Qadeer-CV.pdf,QADEER,qa239531@gmail.com,"C, R, Collaboration",3.0,"B L I S T E R   I N C H A R G E
 Bachelor of Science (BSc)",0.0%,18.2,0,19,
75_CV_522.docx,Michelle Hernandez,joseph65@example.net,,3.0,BS in Information Technology from Jones-Anderson University,0.0%,18.7,0,19,
